name	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	.	peakidx	ms_level	METAB01_QC1	METAB01_QC2	METAB01_QC3	METAB01_QC4	METAB01_QC5	METAB01_Smpl_07	METAB01_Smpl_100	METAB01_Smpl_10_nonCOVID	METAB01_Smpl_11	METAB01_Smpl_11_nonCOVID	METAB01_Smpl_12_nonCOVID	METAB01_Smpl_13	METAB01_Smpl_13_nonCOVID	METAB01_Smpl_14_nonCOVID	METAB01_Smpl_15_nonCOVID	METAB01_Smpl_16_nonCOVID	METAB01_Smpl_17_nonCOVID	METAB01_Smpl_18_nonCOVID	METAB01_Smpl_19_nonCOVID	METAB01_Smpl_1_nonCOVID	METAB01_Smpl_20_nonCOVID	METAB01_Smpl_21_nonCOVID	METAB01_Smpl_22_nonCOVID	METAB01_Smpl_23	METAB01_Smpl_24	METAB01_Smpl_26_nonCOVID	METAB01_Smpl_27	METAB01_Smpl_27_nonCOVID	METAB01_Smpl_28	METAB01_Smpl_28_nonCOVID	METAB01_Smpl_29_nonCOVID	METAB01_Smpl_2_nonCOVID	METAB01_Smpl_30_nonCOVID	METAB01_Smpl_31_nonCOVID	METAB01_Smpl_32	METAB01_Smpl_32_nonCOVID	METAB01_Smpl_33	METAB01_Smpl_33_nonCOVID	METAB01_Smpl_34_nonCOVID	METAB01_Smpl_35	METAB01_Smpl_35_nonCOVID	METAB01_Smpl_36	METAB01_Smpl_36_nonCOVID	METAB01_Smpl_37	METAB01_Smpl_37_nonCOVID	METAB01_Smpl_38_nonCOVID	METAB01_Smpl_39_nonCOVID	METAB01_Smpl_3_nonCOVID	METAB01_Smpl_40_nonCOVID	METAB01_Smpl_41	METAB01_Smpl_41_nonCOVID	METAB01_Smpl_42	METAB01_Smpl_42_nonCOVID	METAB01_Smpl_43	METAB01_Smpl_44	METAB01_Smpl_46	METAB01_Smpl_47	METAB01_Smpl_4_nonCOVID	METAB01_Smpl_50	METAB01_Smpl_51	METAB01_Smpl_52	METAB01_Smpl_53	METAB01_Smpl_54	METAB01_Smpl_55	METAB01_Smpl_56	METAB01_Smpl_57	METAB01_Smpl_58	METAB01_Smpl_59	METAB01_Smpl_5_nonCOVID	METAB01_Smpl_60	METAB01_Smpl_61	METAB01_Smpl_62	METAB01_Smpl_63	METAB01_Smpl_64	METAB01_Smpl_65	METAB01_Smpl_66	METAB01_Smpl_67	METAB01_Smpl_68	METAB01_Smpl_69	METAB01_Smpl_6_nonCOVID	METAB01_Smpl_70	METAB01_Smpl_71	METAB01_Smpl_72	METAB01_Smpl_73	METAB01_Smpl_74	METAB01_Smpl_75	METAB01_Smpl_76	METAB01_Smpl_78	METAB01_Smpl_79	METAB01_Smpl_7_nonCOVID	METAB01_Smpl_80	METAB01_Smpl_81	METAB01_Smpl_82	METAB01_Smpl_83	METAB01_Smpl_84	METAB01_Smpl_85	METAB01_Smpl_86	METAB01_Smpl_87	METAB01_Smpl_88	METAB01_Smpl_89	METAB01_Smpl_8_nonCOVID	METAB01_Smpl_90	METAB01_Smpl_91	METAB01_Smpl_92	METAB01_Smpl_94	METAB01_Smpl_95	METAB01_Smpl_96	METAB01_Smpl_98	METAB01_Smpl_99	METAB01_Smpl_9_nonCOVID
M56T51	M56.050189T50.9654	56.0501888104082	56.0497057956342	56.0503111069716	50.9653930664062	48.366039276123	78.7260894775391	67	63	1318,2693,4092,5437,7035,11283,16029,18002,19604,21349,23292,25644,27073,28850,30650,32377,33808,35536,37014,38872,40457,42113,45403,48737,51359,52880,54166,59879,61257,63405,64743,68150,69700,70936,73552,75232,76397,83106,84654,87771,90312,91791,91801,94801,96151,97444,98642,100112,101644,103041,104460,105683,105713,105734,105756,114017,115322,117821,119397,120845,122507,123698,124835,129289,137248,140659,149351	1	2363496.19892179	3406475.49818413	2861554.91905171	2431567.2546304	5872809.18694186	0.0	0.0	3111059.23200957	0.0	0.0	3258019.22016471	11574330.2597793	3056739.64079959	2950499.02559961	2997730.3845326	2862455.47523735	2996042.47021767	2859024.33947806	2858726.72588211	4267647.97451657	2786021.93873438	2702204.8278445	2765426.55893997	8829484.00310264	12073068.1313945	2416276.4569552	0.0	2503155.15281102	0.0	2602655.96206754	0.0	4197690.49468166	2493327.13599443	2158380.81970496	0.0	0.0	0.0	2145306.51467829	2027377.42187978	23155712.1827839	2131771.92759643	0.0	2015473.62512411	9713342.73906264	2155485.19170459	0.0	2034864.39698793	3870405.76678103	1923481.82631327	0.0	0.0	0.0	0.0	6153338.4526069	5587483.66001589	0.0	5617040.26535005	0.0	5583283.14554866	3179637.27158103	0.0	1752916.03672136	2833439.415793	1341845.71235145	1420174.83701133	2448649.10232949	1211555.04865329	1291024.1993827	3737442.23800141	1163639.6978833	0.0	0.0	0.0	0.0	0.0	0.0	1071965.08024129	849777.949959314	0.0	3593390.33317413	0.0	1557232.66108033	1074050.17305772	1182795.54038519	471121.097338944	709550.223608704	0.0	0.0	0.0	3401929.61760206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	688629.761499681	0.0	0.0	3449991.28174563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3406209.13411224
M56T14	M56.050096T13.9479	56.0500964378996	56.0496501132627	56.0503175513549	13.9478902816772	12.831467628479	19.1761302947998	30	30	9402,12714,18001,31104,38871,44094,47342,56067,94800,101643,109189,110357,115321,116531,120844,122506,123697,124834,125889,126968,127898,131585,132709,132820,138395,142810,143066,144561,146189,147934	1	0.0	0.0	0.0	0.0	0.0	8115305.92970931	0.0	0.0	7549909.67971426	0.0	0.0	8771646.41289976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3092226.19379466	0.0	0.0	0.0	4836018.64237675	0.0	0.0	5854113.99910358	0.0	6035004.91034035	0.0	0.0	0.0	0.0	0.0	4146827.99973623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1266650.50578896	0.0	0.0	0.0	0.0	1099498.21074066	0.0	0.0	0.0	0.0	0.0	855971.940557407	991745.141214272	0.0	0.0	0.0	923620.676773887	793226.375197729	0.0	0.0	0.0	798084.303898927	758863.885420411	845481.188384354	782850.886712761	912940.372489147	722417.00023792	779993.612439085	0.0	0.0	750133.397472578	689467.270332609	740876.127405155	0.0	0.0	0.0	0.0	645839.594321209	0.0	0.0	0.0	633031.143808491	586968.391853219	526916.350274405	0.0	621472.453225982	0.0	598919.720851136	0.0
M57T165	M57.033281T165.2392	57.0332810599336	57.0328129335012	57.0336275601933	165.239151000977	141.781036376953	172.244903564453	59	59	723,2220,3639,8376,12237,13959,17525,19013,20679,22674,26569,28240,30157,31728,33255,35004,36482,38106,39955,41599,43263,44943,48245,49538,50818,52272,55340,56764,57918,59389,60774,62508,64184,65963,67673,70502,71844,73168,74636,75988,77386,78801,80033,81317,82652,84147,88583,89779,113573,117220,119148,120403,122131,124570,128709,132496,136944,138156,148722	1	180416.665304076	133900.516564198	110383.763108734	0.0	0.0	496979.919349834	0.0	0.0	329300.490258972	200189.846829629	0.0	320615.941335402	213373.650456223	196666.487482397	198982.981186231	0.0	192992.045115042	190905.920004726	156073.871564676	230575.283538232	155817.850064444	153303.516366925	188264.415698161	256536.164340658	223264.639786457	160706.223185379	243764.844670647	168355.552897096	0.0	148644.372975075	135460.390293529	202970.404729775	147748.172361392	0.0	231836.889129893	88596.4456086344	248657.914585558	113769.330159606	128227.90640191	199162.220020448	128366.759060081	195349.681416248	118430.702570309	0.0	117619.069562357	107790.006620458	78557.2097553809	198158.429292866	97342.5271683632	143122.251218663	97998.927382165	140585.600260474	90272.9474741927	162281.866378459	154311.84549321	0.0	0.0	128096.396528999	140077.738076523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99076.5687482514	0.0	0.0	223142.594247478	0.0	22209.1682292207	74987.1883386753	45711.7800294323	0.0	36893.6078488949	0.0	0.0	0.0	208534.337480748	0.0	0.0	30057.9468031635	0.0	0.0	0.0	0.0	36933.400905106	22272.1751713883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155586.285269295
M57T38	M57.069694T38.0186	57.0696942142555	57.0692884612663	57.0698084397125	38.0185565948486	37.6033821105957	39.4905128479004	38	38	7773,9490,90882,93919,95251,96765,97682,99296,100832,102333,104758,106182,107103,108474,111015,111957,113167,114715,115900,118770,119903,121692,122996,125322,126462,127417,129901,131000,132154,134539,136575,137888,138866,141304,144146,144695,145641,146684	1	0.0	0.0	0.0	0.0	0.0	465205.431435148	44333.4237354744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162526.122978847	0.0	149124.173717386	150496.576064145	114553.961361031	159164.422220157	159431.314470698	123580.424414149	121533.284266523	0.0	168270.612143165	96704.6441602794	124628.227742214	111646.961210166	0.0	88840.8324192973	102257.132627738	143765.095623148	84408.7508678776	92486.8982226851	0.0	0.0	78428.4611964231	139918.732861071	92478.5314049135	68629.4092010423	0.0	56767.2432134686	59831.8589848503	53551.8340164006	0.0	73901.2029625524	73598.5833214093	82095.477226481	0.0	0.0	63374.470686468	0.0	100968.588625596	62253.3425951839	42002.9104823297	0.0	46762.931089106	0.0	0.0	51224.5813952158	45563.8460626768	48740.3455854994	47367.2730563692	0.0	0.0
M58T177	M58.065557T176.918	58.0655572958863	58.0647745219368	58.0657377989837	176.918014526367	173.350692749023	201.400100708008	110	106	984,2357,3817,5154,6769,8933,9937,10966,12716,14215,15699,18004,19228,20907,22844,25204,26777,28445,30378,32026,33479,35232,36692,38874,40459,41810,43795,45141,47344,48445,49727,51083,52492,53920,55848,56926,58451,59575,60957,62947,64397,66637,67859,69701,70664,72000,73294,74900,76137,77923,78932,80547,81465,83107,84655,86245,86309,87772,89083,90314,91802,93333,94844,96152,97445,98643,100170,101646,103042,104159,105779,106820,107776,109190,110414,111664,112604,114019,115323,116533,117470,119398,120568,122350,123700,124759,125890,126969,127900,128961,130491,130518,130519,130529,131521,132631,133545,135923,137056,138303,139225,140308,141743,142708,143553,144505,145035,145990,147115,148996	1	1214479.57874543	809850.900750788	798570.464783541	670669.084288423	1415498.97685881	5630482.71248397	320893.807473303	1393457.72863888	2838605.77682656	1312748.34503112	1362560.46614628	2726377.34545595	1241521.49657199	1859084.22279022	837139.359056569	1450535.21948186	1264383.09099101	851165.833904255	1704752.05414393	2493295.66858246	763199.199249689	845598.025891479	967828.22628449	2735498.09178659	2832691.69694498	971328.399986937	2045615.08015262	797173.945179605	2169601.02068072	1547950.28942744	1022747.63694108	1529281.74064078	2122528.08958836	561460.776231001	4145346.17066289	1485355.96386432	2086805.1949119	1069435.4092109	1232745.40063491	2291478.2695198	2029796.93386533	1486897.46354883	1222507.06069908	1613984.39136819	1078845.13478038	759518.241676356	495285.504268683	1527957.63076824	1456574.11437487	1972957.34797582	523106.203346513	1623986.29770133	816760.8961178	1730501.18210179	1386358.31704923	1755552.63602485	1842364.99758838	1232518.55876354	1263262.58325579	779566.081308556	696119.311670137	929451.975539243	641322.319530112	508688.325801395	643233.735544161	632111.688588342	414120.144313473	503968.676755773	1762473.34332706	596441.245518774	397023.337962765	371751.173793196	513173.291377957	344684.407474838	732112.806426278	515904.605178477	538308.99887518	603721.508426876	495484.413541951	1907133.11483592	0.0	464210.865577818	815512.970302932	543163.046528742	345852.145665001	330752.606770949	490307.146312896	297011.646810804	303058.368011869	1347584.95010482	414010.359470954	290914.323199086	287491.117828896	260535.202774591	0.0	0.0	300156.513607976	325617.477949987	329394.673447464	279896.754357677	1488104.80893528	302398.379737494	258723.672023917	232085.482551784	225816.996375725	262903.304719349	357614.713345802	307633.857420026	0.0	1459838.51148922
M58T14	M58.065675T13.9166	58.0656751865366	58.0651435852051	58.0658589683367	13.9165811538696	12.831467628479	16.4418087005615	45	45	8934,12715,18003,38873,40458,43794,47343,55849,62946,66636,86308,90313,93332,94843,97446,100171,101645,102147,109191,110413,110659,114020,115324,116532,120569,122008,123699,124760,125892,126970,127899,131522,132632,133544,135006,135924,137058,137508,139226,142709,143496,143916,145991,147117,147363	1	0.0	0.0	0.0	0.0	0.0	6598421.17447316	0.0	0.0	7238268.10258088	0.0	0.0	10684969.6347605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5382714.22826504	2559446.50017473	0.0	7506627.980761	0.0	7973753.41292217	0.0	0.0	0.0	0.0	0.0	3576604.95400859	0.0	0.0	0.0	0.0	1259560.53344725	0.0	1071173.94794848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1672650.93771592	0.0	0.0	1639798.78886642	0.0	1223814.30477339	1137116.7666357	0.0	917088.089085907	0.0	959300.881592189	990954.62319158	850415.299247993	0.0	0.0	0.0	0.0	723516.49181638	856751.992310836	874559.046687944	0.0	759555.174447534	859838.642801234	775757.131010166	0.0	0.0	0.0	726693.377806946	712408.123342168	792351.846472909	637370.042160789	778778.649040043	642864.707756117	696507.466873642	0.0	0.0	700156.072400833	639986.764396346	594752.187227357	0.0	619809.83125457	592322.057413294	568166.704311554	560424.675540989	570366.490412624	0.0	0.0	518754.364541728	591699.626070432	516633.581736952	0.0	510871.015657246	542102.960055937	523163.982667303	0.0
M58T157	M58.06536T156.623	58.0653602147451	58.0649999407836	58.065777338058	156.622955322266	139.811767578125	163.257369995117	48	46	986,2359,5155,10967,10968,14214,15700,19227,20908,22843,25205,26778,28446,30377,32028,33480,36693,41811,45142,48446,49728,51084,51085,52493,56925,58450,59576,60958,64398,70665,72001,73295,74901,76138,81466,89082,104158,105780,114018,117471,120567,122349,125891,128960,137055,140307,147116,148995	1	746952.870729757	502233.619880969	0.0	280507.105982141	0.0	0.0	0.0	562027.029556578	0.0	1002251.72918549	725684.45342698	0.0	784339.338624541	837800.008468796	693468.523143422	671559.641951286	528509.429820392	474101.851328294	572005.295596196	650575.879298604	518070.637862787	0.0	472524.821560996	0.0	0.0	409748.048208247	0.0	504152.385362208	0.0	523029.528893441	476826.18704702	584670.11341398	622161.112016713	0.0	0.0	262264.289721418	3952697.65758786	491424.152499479	526620.72333238	0.0	614257.826358793	0.0	0.0	0.0	389895.510040127	400978.409802163	265853.308269786	673562.364109577	335157.224700433	0.0	0.0	0.0	303805.529352524	0.0	0.0	0.0	0.0	898374.471301297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	909527.068261705	669380.775335438	0.0	0.0	0.0	0.0	0.0	0.0	608856.26032004	0.0	0.0	538711.029038022	0.0	0.0	557747.187477235	288669.682423556	0.0	0.0	240614.023304199	0.0	0.0	590933.457913564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286256.573213727	0.0	0.0	723193.29353048	0.0	0.0	0.0	0.0	0.0	0.0	195231.481744013	0.0	475690.998412352
M59T14	M59.061049T13.8506	59.0610489773791	59.0606115546997	59.0611255969519	13.8505973815918	12.6979990005493	16.4418087005615	36	36	8573,12410,18005,31106,38155,40118,43454,46971,55393,62040,66123,68704,77924,84304,85950,89961,94337,108819,110415,111314,113515,115037,116201,120339,122087,123369,124530,125621,126704,127901,131321,132821,135814,142975,145912,147006	1	0.0	0.0	0.0	0.0	0.0	10935487.7059428	0.0	0.0	6248489.98622231	0.0	0.0	12978690.127489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3829381.01853332	0.0	0.0	0.0	4993030.85891788	3630896.75865332	0.0	8616083.78610677	0.0	5442863.68499	0.0	0.0	0.0	0.0	0.0	2906194.62041884	0.0	0.0	0.0	0.0	1758361.92368265	0.0	1681199.54087771	0.0	568542.423736228	0.0	0.0	0.0	0.0	0.0	913655.483296494	0.0	0.0	0.0	0.0	842660.327416955	1687843.66663422	0.0	0.0	951544.846727256	0.0	0.0	1651619.86325615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1148650.75553119	1288137.17127047	1280556.01643458	0.0	1046403.31791071	1209348.60089905	1042801.7927463	0.0	0.0	0.0	995718.050566328	1020147.61246422	1065065.59440527	962559.520481927	1146695.58487065	763797.705500589	1019964.68391258	0.0	0.0	963980.309213744	0.0	803466.850635394	0.0	0.0	655282.504494645	0.0	0.0	0.0	0.0	0.0	0.0	649833.232782266	0.0	0.0	618007.91816141	540582.607013271	0.0	0.0
M59T466	M59.061098T466.1306	59.0610978887447	59.0606230470074	59.0611637764332	466.130554199219	436.436340332031	483.138366699219	85	38	8935,8936,8937,18006,18007,38652,40460,43796,46982,47007,47038,47056,93334,93335,94884,94948,94950,94951,96153,96166,96185,100179,100190,100194,100210,100228,101647,103082,105853,105854,105857,107875,107876,107880,109197,109200,109202,111667,111668,111669,112607,114023,115326,116538,118676,119401,120850,120853,120857,122511,122512,122518,123705,123708,124843,124844,125894,126974,126976,127902,130534,130540,130541,130542,131588,131592,136058,136062,137253,137259,137300,141897,141898,141903,141904,141905,144563,145148,145153,145154,146194,146195,146201,147245,147246	1	0.0	0.0	0.0	0.0	0.0	5319875.74694746	0.0	0.0	0.0	0.0	0.0	3890869.64009212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3246903.38012874	105582.752760175	0.0	1223945.0415747	0.0	420307.086191212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	740264.028930948	1051757.21130171	1348084.49290259	0.0	0.0	573025.912723606	972513.533370271	778990.41984456	0.0	908952.058810564	0.0	544161.420926947	593983.23633745	0.0	129068.819261576	479275.071445491	43171.1092701509	46666.9579965624	572716.493839139	0.0	843654.712735485	88698.3716511188	326037.554850362	451527.19581656	560404.034541047	275621.950981713	46768.8184085483	76486.7364380602	39467.2354114692	0.0	454050.666233151	494664.473917543	0.0	0.0	0.0	0.0	433702.059771644	102266.716040896	0.0	0.0	0.0	46521.3405281915	0.0	0.0	360204.08469525	238191.0875296	376698.176130166	11314.8302039046	0.0	0.0
M59T490	M59.061088T490.4573	59.0610879568387	59.0605208133654	59.0611509470589	490.457275390625	484.393035888672	498.333984375	32	29	12718,12720,38653,38655,40462,46970,94905,96179,98644,100204,103058,105855,107879,109201,112610,114030,115327,119403,120854,122520,123707,124840,125895,126977,126979,130535,131589,136065,137261,141901,145151,146197	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	294646.989963825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1193319.33993205	246370.126012033	0.0	0.0	0.0	1364864.83734379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	966971.364976607	1061727.54373084	0.0	1140050.06930557	566743.002154625	0.0	407480.041167849	0.0	434054.75990711	0.0	458669.052589335	326869.663482446	0.0	0.0	19712.2729479655	626206.03041733	330147.931441427	0.0	0.0	0.0	14553.2660595661	437016.614904636	480859.025383076	491280.230100184	49963.2986369008	22055.5518392785	375778.9508028	0.0	0.0	33057.1168907177	45305.4346853941	0.0	0.0	0.0	0.0	154107.46091634	366157.240699741	0.0	0.0	0.0	47071.5060654011	0.0	0.0	0.0	27553.1893106869	315331.436491045	0.0	0.0	0.0
M59T507	M59.061086T507.2561	59.0610861312203	59.0606411704543	59.0611489194554	507.256072998047	499.031036376953	520.639404296875	43	28	12719,38654,40461,47027,47057,94909,96178,96186,97447,97448,98655,98656,98658,100189,100238,103043,103067,105858,106822,107878,109199,112608,114024,114031,116535,116537,120856,122513,122521,122523,124841,125897,126978,130536,135043,136059,136066,137256,137260,141902,141906,141907,145152	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1941560.62760215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	337242.399341045	1360263.53546412	0.0	0.0	0.0	942043.494859119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	775198.860846784	536720.522088318	745460.859542391	364190.071815776	97676.8809012087	0.0	321797.285393205	0.0	206590.854520551	597417.496340224	456712.542917607	101284.815397499	0.0	0.0	30910.3300329627	670139.239104693	0.0	419349.047844471	0.0	0.0	0.0	206148.434680893	332486.396331263	0.0	435851.618838672	444254.137568082	147479.260187283	0.0	0.0	215147.239589084	0.0	0.0	0.0	0.0	314221.165831485	370396.724154564	304855.455407772	0.0	0.0	0.0	35825.2468892573	0.0	0.0	0.0	244410.749361848	0.0	0.0	0.0	0.0
M59T177	M59.073256T176.6925	59.0732555383571	59.0606136659279	59.0735616027966	176.692489624023	164.717224121094	192.731018066406	120	95	831,2278,3683,5072,6433,8465,10838,12292,14059,15567,17585,19101,20779,25057,26650,28318,30244,31883,33323,35073,36549,38172,39995,41651,43313,44982,46537,46976,46998,47024,47026,48304,49577,50940,52329,53805,55432,56830,57958,59428,60810,62534,64255,65997,67711,69141,70543,71875,73195,74762,76031,77429,78836,80061,81350,82679,84164,85803,87287,88682,91456,93023,94440,94879,94929,95768,97134,98221,99810,100172,100173,100219,101262,102749,104018,105282,105847,107539,107874,108888,109193,109194,110089,111387,112346,113609,114028,115100,116266,117345,119160,120459,120847,120852,122157,122516,123429,123702,124588,125678,128824,130218,130531,131366,131587,132508,133399,135863,136063,136064,137257,140142,141894,143531,144975,145145,145959,146191,147052,147241	1	298358.566770684	217818.516140082	195249.912745914	167922.861335553	226791.146318601	1314551.51945511	0.0	316489.640136709	524181.567649064	320014.332267485	370208.217397739	459132.596121975	261712.666772887	519301.510095591	0.0	392401.321491312	284104.2672025	232220.307139735	483528.044827453	659793.614635957	197434.102278768	145108.367685175	235897.129372646	571556.324555359	300093.4686927	215877.6220537	310667.820533516	216097.557430089	21491.4709901602	454659.094837906	309750.015736233	292422.30912863	662133.485929145	121558.006040762	1125967.24395538	428429.412245244	287138.919692291	293005.262799385	360407.027948191	243888.209750164	518547.500247353	203906.065913564	186443.446192683	236542.181480204	339673.850548218	216717.293881162	110646.076508634	376997.198991758	349815.309900646	340492.907367837	126919.838198016	259074.718809289	233988.630446762	319637.106457046	193071.62861286	248086.663762657	278650.119302198	310943.152966569	0.0	160241.7305701	142236.888762587	221554.56161596	141076.917289322	90002.0346515897	155679.013127985	156147.2896941	61269.7735404426	76759.9404776853	426854.282123267	135072.640771102	0.0	67726.8384370186	123354.231561436	61328.4171305522	173909.661696804	108451.939845559	136860.199197382	158198.516260707	97018.405676757	518859.243729035	0.0	95681.086488037	240626.98573191	136034.341449635	70834.2960613211	69375.6326839763	120989.766693414	0.0	0.0	333037.812003062	80848.2031402586	45151.5084462833	16342.0569208262	33008.0753229496	0.0	0.0	51710.1432655613	781634.611222188	0.0	0.0	291085.442250688	377573.089771583	0.0	27439.2156481061	0.0	37293.4064080396	79692.5907407684	74425.0344743236	0.0	0.0
M59T154	M59.061078T154.276	59.0610779814446	59.0606252758636	59.0736214346246	154.276008605957	131.103927612305	160.167724609375	84	78	1320,2694,4093,5438,10735,11284,12176,14590,16031,19605,21350,23361,25645,27074,28851,30712,32317,33809,35537,37015,38045,42114,43453,45404,46975,47004,47051,48738,50090,51361,52881,54167,57132,57881,59880,61258,64744,68151,70937,72276,73553,75233,76398,79221,81716,89086,91371,94949,96197,98236,104462,105859,106821,107873,109192,111665,112605,114021,115325,116534,117823,118675,119399,120343,120846,122508,123701,124836,125893,126971,129350,130530,131586,135040,135818,136053,137249,140661,141893,145144,146190,147010,147240,149352	1	10146409.5765495	7756255.74784807	6964169.54694073	5693608.13764661	0.0	0.0	0.0	9387125.64371862	123798.250837524	9457723.778075	10272897.8331797	0.0	10189783.9693633	10142079.1966792	10350609.3276101	9817455.50390844	10827664.3591241	10682010.6024002	9646529.33821553	9133561.26280531	9759414.81428155	8835806.54132683	10444965.8322522	77301.199648872	0.0	7933067.31972781	1054725.53266125	8479720.46250125	654853.29949795	10207243.8501626	7573782.7441996	9259856.7146363	10166550.5098669	6220106.18944137	0.0	6145712.21721265	1211240.06174958	6592674.26452197	6385915.19297085	0.0	7184488.2655489	0.0	6254909.69291298	0.0	7807182.36849943	5965478.42843922	5655539.76597655	9049874.10355162	5984232.43705831	0.0	5417981.99929387	0.0	6010772.91768996	0.0	0.0	0.0	0.0	8497491.79653264	0.0	35633.7900706184	0.0	1626430.58032768	1639321.79754798	0.0	1621129.50144443	0.0	0.0	0.0	9115451.62765361	1481848.91460002	995974.177243535	1170965.18673466	1115103.87073159	0.0	1145373.79321251	955515.618745919	1345718.49306207	820380.247257864	1057919.4976922	9323500.83162245	758863.190244898	889618.078667462	1355746.41684337	970395.463714878	815753.962876669	757915.465886717	677013.715269301	776037.952643297	0.0	9479611.52033541	748496.595052314	642372.950325091	0.0	0.0	0.0	570884.280773962	565973.789487857	932874.073322256	0.0	0.0	9420812.60606074	623956.045544227	0.0	0.0	0.0	548473.977675294	587445.769491353	519392.167459503	0.0	9615537.59069732
M60T165_1	M60.019606T164.8095_1	60.0196060416573	60.0190917472017	60.0198163730413	164.809539794922	159.371795654297	166.580276489258	30	30	13986,15496,19036,22693,24985,26580,28255,30165,31790,33261,35013,36474,41583,44921,48225,49515,53758,56756,59370,60747,64156,74702,75970,78774,81295,103957,117272,128754,140080,148777	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38685.7059340502	37829.6522538182	0.0	50663.2788665028	0.0	43736.3092402231	35291.2562830937	40773.796332027	35315.2752465217	30824.0461109415	63241.0650311946	35003.4745684842	40868.5613883376	38419.488506338	0.0	0.0	33735.6712544554	0.0	38465.9806390704	0.0	31435.3537590672	27536.8256368883	0.0	0.0	22757.7583133346	0.0	20432.1024323727	0.0	27266.9557218462	25918.9417949929	0.0	11821.8514639233	0.0	0.0	0.0	0.0	0.0	0.0	77177.8577188646	22108.3716272367	0.0	22019.6387014726	0.0	22256.3340933363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28963.5800271414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54808.8247270994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48196.6813880059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47991.4474039747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41075.6195332687
